 An,Ac,Reco,NEE
   0.00000000     ,  -0.00000000     ,   7.70431566     ,   7.70431566    
   0.00000000     ,  -0.00000000     ,   1.44904947     ,   1.44904947    
   0.00000000     ,  -0.00000000     ,   1.37146401     ,   1.37146401    
   0.00000000     ,  -0.00000000     ,   1.37146401     ,   1.37146401    
   0.00000000     ,  -0.00000000     ,   1.44904947     ,   1.44904947    
   0.00000000     ,  -0.00000000     ,   1.61158121     ,   1.61158121    
   0.00000000     ,  -0.00000000     ,   1.87303364     ,   1.87303364    
   0.00000000     ,  -0.00000000     ,   2.25170350     ,   2.25170350    
   4.81651688     ,  -6.74725696E-03 ,   2.76503348     ,   2.77178073    
   9.83658218     ,  -1.37796570E-02 ,   3.42009616     ,   3.43387580    
   12.8273335     ,  -1.79692749E-02 ,   4.19978905     ,   4.21775818    
   15.5491972     ,  -2.17822194E-02 ,   5.04885721     ,   5.07063961    
   17.7855110     ,  -2.49149781E-02 ,   5.86795044     ,   5.89286518    
   19.1529922     ,  -2.68306248E-02 ,   6.52612638     ,   6.55295706    
   19.2903595     ,  -2.70230584E-02 ,   6.89531612     ,   6.92233896    
   17.8146381     ,  -2.49557793E-02 ,   6.89531612     ,   6.92027187    
   13.9047976     ,  -1.94786489E-02 ,   6.52612638     ,   6.54560518    
   4.87557554     ,  -6.82998961E-03 ,   5.86795044     ,   5.87478065    
   0.00000000     ,  -0.00000000     ,   5.04889250     ,   5.04889250    
   0.00000000     ,  -0.00000000     ,   4.19981813     ,   4.19981813    
   0.00000000     ,  -0.00000000     ,   3.42009616     ,   3.42009616    
   0.00000000     ,  -0.00000000     ,   2.76503348     ,   2.76503348    
   0.00000000     ,  -0.00000000     ,   2.25170350     ,   2.25170350    
   0.00000000     ,  -0.00000000     ,   1.87303364     ,   1.87303364    
   0.00000000     ,  -0.00000000     ,   1.60992193     ,   1.60992193    
   0.00000000     ,  -0.00000000     ,   1.55780089     ,   1.55780089    
   0.00000000     ,  -0.00000000     ,   1.48450375     ,   1.48450375    
   0.00000000     ,  -0.00000000     ,   1.48450375     ,   1.48450375    
   0.00000000     ,  -0.00000000     ,   1.55780089     ,   1.55780089    
   0.00000000     ,  -0.00000000     ,   1.70979190     ,   1.70979190    
   0.00000000     ,  -0.00000000     ,   1.95038736     ,   1.95038736    
   0.00000000     ,  -0.00000000     ,   2.29167223     ,   2.29167223    
   5.35580826     ,  -9.11085401E-03 ,   2.74322081     ,   2.75233173    
   9.66399002     ,  -1.64395738E-02 ,   3.30463457     ,   3.32107425    
   12.1187296     ,  -2.06153728E-02 ,   3.95577598     ,   3.97639132    
   14.3715992     ,  -2.44477652E-02 ,   4.64797020     ,   4.67241812    
   16.2704411     ,  -2.76779179E-02 ,   5.30201483     ,   5.32969284    
   17.5352554     ,  -2.98295114E-02 ,   5.81931973     ,   5.84914923    
   17.8913937     ,  -3.04353461E-02 ,   6.10664845     ,   6.13708401    
   17.0317345     ,  -2.89729647E-02 ,   6.10664845     ,   6.13562155    
   14.1986570     ,  -2.41535716E-02 ,   5.81931973     ,   5.84347343    
   5.71998262     ,  -9.73035675E-03 ,   5.30201483     ,   5.31174517    
   0.00000000     ,  -0.00000000     ,   4.64797020     ,   4.64797020    
   0.00000000     ,  -0.00000000     ,   3.95577598     ,   3.95577598    
   0.00000000     ,  -0.00000000     ,   3.30463457     ,   3.30463457    
   0.00000000     ,  -0.00000000     ,   2.74322081     ,   2.74322081    
   0.00000000     ,  -0.00000000     ,   2.29167223     ,   2.29167223    
   0.00000000     ,  -0.00000000     ,   1.95040095     ,   1.95040095    
   0.00000000     ,  -0.00000000     ,   1.70872867     ,   1.70872867    
   0.00000000     ,  -0.00000000     ,   1.11014903     ,   1.11014903    
   0.00000000     ,  -0.00000000     ,   1.04295945     ,   1.04295945    
   0.00000000     ,  -0.00000000     ,   1.04295945     ,   1.04295945    
   0.00000000     ,  -0.00000000     ,   1.11014903     ,   1.11014903    
   0.00000000     ,  -0.00000000     ,   1.25244153     ,   1.25244153    
   0.00000000     ,  -0.00000000     ,   1.48535037     ,   1.48535037    
   0.00000000     ,  -0.00000000     ,   1.83040547     ,   1.83040547    
   5.35819149     ,  -5.89642627E-03 ,   2.31064129     ,   2.31653762    
   8.97093105     ,  -9.87206772E-03 ,   2.94093180     ,   2.95080376    
   11.8608208     ,  -1.30522493E-02 ,   3.71253181     ,   3.72558403    
   14.8200665     ,  -1.63087528E-02 ,   4.57497263     ,   4.59128141    
   17.4721565     ,  -1.92272477E-02 ,   5.42575216     ,   5.44497919    
   19.3405552     ,  -2.12833285E-02 ,   6.12119436     ,   6.14247751    
   20.0060768     ,  -2.20157020E-02 ,   6.51553345     ,   6.53754902    
   19.1101341     ,  -2.10297611E-02 ,   6.51553345     ,   6.53656340    
   15.9520187     ,  -1.75544098E-02 ,   6.12119436     ,   6.13874865    
   6.68374872     ,  -7.35513633E-03 ,   5.42575216     ,   5.43310738    
   0.00000000     ,  -0.00000000     ,   4.57497263     ,   4.57497263    
   0.00000000     ,  -0.00000000     ,   3.71253181     ,   3.71253181    
   0.00000000     ,  -0.00000000     ,   2.94093180     ,   2.94093180    
   0.00000000     ,  -0.00000000     ,   2.31064129     ,   2.31064129    
   0.00000000     ,  -0.00000000     ,   1.83041811     ,   1.83041811    
   0.00000000     ,  -0.00000000     ,   1.48535037     ,   1.48535037    
   0.00000000     ,  -0.00000000     ,   1.25365245     ,   1.25365245    
   0.00000000     ,  -0.00000000     ,   1.07386112     ,   1.07386112    
   0.00000000     ,  -0.00000000     ,   1.01157093     ,   1.01157093    
   0.00000000     ,  -0.00000000     ,   1.01157093     ,   1.01157093    
   0.00000000     ,  -0.00000000     ,   1.07386112     ,   1.07386112    
   0.00000000     ,  -0.00000000     ,   1.20527077     ,   1.20527077    
   0.00000000     ,  -0.00000000     ,   1.41902244     ,   1.41902244    
